source,target
coordinador ocio,leisure manager
monitor actividades ludicas,leisure manager
archivero bibliotecario,librarian
bibliotecario,librarian
bibliotecario documentalista,librarian
auxiliar archivos bibliotecas,library assistant
auxiliar biblioteca biblioteca,library assistant
auxiliar de biblioteca,library assistant
ayudante biblioteca,library assistant
director concesiones,license manager
gestor licencias,license manager
coach,life coach
socorrista,lifeguard
estilista asesor imagen,lifestyle consultant
cocinero linea,line cook
gerente linea,line manager
operador de linea,line operator
operario de linea,line operator
operario encargado,line operator
supervisor linea,line supervisor
jefe localizaciones,location manager
analista tic,logistics analyst
soporte logistico,logistics support
becario de operaciones,logistics trainee
administrativo siniestros,loss adjuster
administrativo tramitador siniestros,loss adjuster
perito tasador siniestros,loss adjuster
conductor maquinaria,machine driver
conductor maquinas,machine driver
jefe parque maquinaria,machine driver
ingeniero maquinaria,machine engineer
oficial maquina,machine operator
operador de maquinaria,machine operator
operador maquina,machine operator
operador maquinas,machine operator
operario maquina,machine operator
operario maquina corte laser,machine operator
operario maquina herramienta,machine operator
operario maquina inyeccion,machine operator
operario maquinaria industrial,machine operator
operario maquinaria pesada,machine operator
operario maquinas,machine operator
preparador maquinas,machine operator
tecnico de maquinaria,machine technician
instrumentista,machinist
mantenimiento,maintenance
mantenimiento equipos,maintenance
mantenimiento industrial,maintenance
mantenimiento preventivo,maintenance
montador mantenimiento,maintenance
mozo mantenimiento,maintenance
responsable mantenimientos,maintenance
socorrista mantenimiento,maintenance
soldador mantenimiento,maintenance
administrativo de mantenimiento,maintenance administrator
asistente de mantenimiento,maintenance assistant
auxiliar mantenimiento,maintenance assistant
ayudante mantenimiento,maintenance assistant
ayudante tecnico mantenimiento,maintenance assistant
coordinador de mantenimiento,maintenance coordinator
electricista mantenimiento,maintenance electrician
oficial electricista mantenimiento,maintenance electrician
ingeniero de mantenimiento,maintenance engineer
ingeniero departamento mantenimiento,maintenance engineer
ingeniero mantenimiento instalaciones,maintenance engineer
ingeniero operaciones mantenimiento,maintenance engineer
encargado de mantenimiento,maintenance manager
encargado mantenimiento industrial,maintenance manager
encargado produccion mantenimiento,maintenance manager
gestor contratos mantenimiento,maintenance manager
gestor mantenimiento,maintenance manager
jefe de mantenimiento,maintenance manager
jefe produccion mantenimiento,maintenance manager
jefe tecnico mantenimiento,maintenance manager
responsable dpto mantenimiento,maintenance manager
responsable mantenimiento,maintenance manager
mecanico mantenimiento,maintenance mechanic
jefe de mantenimiento industrial,maintenance officer
oficial de mantenimiento,maintenance officer
oficial de primera mantenimiento,maintenance officer
oficial mecanico mantenimiento,maintenance officer
oficial segunda mantenimiento,maintenance officer
peon de mantenimiento,maintenance officer
responsable de mantenimiento,maintenance officer
tecnico mantenimiento oficial,maintenance officer
operario mantenimiento industrial,maintenance operative
servicio de mantenimiento,maintenance service
supervisor de mantenimiento,maintenance supervisor
jefe de equipo de mantenimiento,maintenance team leader
tecnico de mantenimiento,maintenance technician
tecnico de mantenimiento electromecanico,maintenance technician
tecnico de operaciones de mantenimiento,maintenance technician
tecnico electromecanico mantenimiento,maintenance technician
tecnico instalador mantenimiento,maintenance technician
tecnico mantenimiento avionica,maintenance technician
tecnico mantenimiento electromedicina,maintenance technician
tecnico mantenimiento industrial,maintenance technician
tecnico mantenimiento instalador,maintenance technician
tecnico mantenimiento maquinaria,maintenance technician
tecnico mantenimiento obras,maintenance technician
tecnico mantenimiento planta,maintenance technician
tecnico mantenimientos,maintenance technician
tecnico obras mantenimiento,maintenance technician
tecnico puesta marcha mantenimiento,maintenance technician
tenico mantenimiento,maintenance technician
operario de mantenimiento,maintenance worker
jefe de sala,maitre
consejera belleza maquilladora,makeup artist
gerencia,management
responsable gerencia,management
administrativo de gerencia,management administrator
administrativo dpto gestion,management administrator
administrativo gerencia,management administrator
asistente gerencia,management assistant
asesor gerencia,management consultant
consultor gerente,management consultant
consultor gestion calidad,management consultant
consultor gestor,management consultant
gestion desarrollo personas,management development
ingeniero gerente,management engineer
tecnico de gestion de servicios comunes,management technician
tecnico de seleccion y gestion de personal,management technician
tecnico gestion ayudas,management technician
tecnico seleccion gestion,management technician
afilador,manager
calderero montador,manager
delineante naval,manager
encargado,manager
encargado autonomo,manager
encargado cajas,manager
encargado corner,manager
encargado fontaneria,manager
encargado parafarmacia,manager
encargado pescaderia,manager
encargado tercera,manager
encargado textil,manager
gerente,manager
gerente asturias,manager
gerente murcia,manager
gerente rural,manager
gerente seleccion,manager
gerente trabajador,manager
gestor,manager
gestor alarmas,manager
gestor casos,manager
gestor espacios,manager
gestor llamadas,manager
gestor marcas,manager
gestor presencial,manager
gestor telefonico,manager
jefe metodos tiempos,manager
peon encargado,manager
responsable,manager
responsable caballero,manager
responsable cantabria,manager
responsable de sala,manager
responsable de unidad,manager
responsable filial,manager
responsable noroeste,manager
responsable provincia,manager
responsable valladolid,manager
responsable varios departamentos,manager
sanitario,manager
viceconsejero,manager
asesor fiscal gerente,manager advisory
asesor gestor laboral,manager advisory
gerente servicios financieros,manager financial services
jefe gestion calidad,manager quality management
responsable gestion calidad,manager quality management
gerente agencia inmobiliaria,manager real estate
gestor patrimonio inmobiliario,manager real estate
encargado formador,manager trainer
gestor asistencia,managers assistant
gestor tramitador,managing consultant
director creativo / gerente,managing creative director
director administrador,managing director
director encargado,managing director
director general,managing director
director general director,managing director
director gerente,managing director
maestro director,managing director
secretario gerencia,managing director
consejero administracion,managing director consultant
director gerente administrador,managing director manager
gerente director medico,managing director media
gerente accionista,managing director shareholder
socio gerente,managing partner
ingeniero procesos fabricacion,manufacturing process engineer
responsable calidad fabricacion,manufacturing quality engineer
analista de mercados,market analyst
analista mercado,market analyst
desarrollador mercado,market developer
desarrollo mercados,market development
director mercados,market manager
director nuevos mercados,market manager
analista estudios mercado,market research analyst
asistente estudios mercado,market research assistant
investigador mercado,market researcher
investigador mercados,market researcher
investigadora mercados,market researcher
analista riesgo mercado,market risk analyst
locutor anuncios,marketing advertising
marketing publicidad,marketing advertising
coordinador mercadeo,marketing coordinator
coordinador promociones,marketing coordinator
disenador de publicidad,marketing designer
responsable dpto publicidad,marketing manager
jefe publicidad marketing,marketing manger
jefe imagen,marketing pr manager
gerente promociones inmobiliarias,marketing promotions manager
responsable mercados,marketing responsible
coordinador jefe ventas,marketing segment manager
masajista,massage therapist
quiromasajista,massage therapist
terapeuta masajista,massage therapist
responsable materias primas,materials controller
coordinador materiales,materials coordinator
gestor materiales,materials manager
ingeniero materiales procesos,materials processes engineer
ingeniero superior procesos,materials processes engineer
enfermero maternidad,maternity nurse
alcalde,mayor
marinero puente maquinas,mecanicien machines
mecanico automocion,mechanic
ingeniero proyectista mecanico,mechanical design engineer
proyectista mecanico,mechanical designer
ingeniero mecanico,mechanical engineer
ingeniero mantenimiento mecanico,mechanical maintenance engineer
encargado mantenimiento mecanico,mechanical manager
encargado mecanico,mechanical manager
encargado mecanizado,mechanical manager
jefe equipo mecanico,mechanical team leader
jefe instalaciones mecanicas,mechanical team leader
analista de medios,media analyst
analista prensa,media analyst
analista social media,media analyst
asistente de medios,media assistant
periodista asesor,media consultant
director medios audiovisuales,media director
responsable relaciones medios,media relations manager
portavoz,media spokesperson
abogado mediador,mediator
mediador,mediator
asesor medico,medical adviser
asistente medico,medical assistant
medico adjunto digestivo,medical assistant
medico adjunto,medical consultant
medico consultor,medical consultant
coordinador medico,medical coordinator
delegado visitador medico,medical delegate
director medico,medical director
director servicios medicos,medical director
perito medico,medical expert
interno medicina,medical intern
atencion medico de familia,medical practitioner
medico adicciones,medical practitioner
medico contingencias comunes,medical practitioner
medico equipo atencion,medical practitioner
medico familia salud,medical practitioner
medico mir,medical practitioner
medico residente medicina familia,medical resident
medico residente medicina nuclear,medical resident
medico residente medicina trabajo,medical resident
medico residente obstetricia ginecologia,medical resident
residente medicina nuclear,medical resident
delegado visita medica,medical sales representative
visitador medico,medical sales representative
mentor,mentor
jefe maquinas marina mercante,merchant navy
vendedor mozo almacen,merchant navy
metalista,metal worker
comadrona,midwife
matrona,midwife
militante,military
molinero,miller
desarrollador aplicaciones moviles,mobile application developer
desarrollador movil,mobile developer
tecnico movilidad,mobile technician
agente de movilidad,mobility
gestor movilidad,mobility manager
responsable movilidad,mobility manager
azafato de imagen,model
modelador,modeller
moderador,moderator
monitor actividad,monitor
monitor baile,monitor
monitor camarero,monitor
monitor granja,monitor
monitor idiomas,monitor
monitor internet,monitor
monitor memoria,monitor
monitor social,monitor
monitor turismo,monitor
monitor actividad extraescolar,monitoring officer
monitor actividades infantiles juveniles,monitoring officer
monitor actividades libre infantil juvenil,monitoring officer
monitor clases extraescolares ingles,monitoring officer
monitor colonias urbanas,monitoring officer
monitor comedor colegio,monitoring officer
monitor habilidades sociales,monitoring officer
monitor pista hielo,monitoring officer
monitor talleres memoria,monitoring officer
responsable de seguimiento,monitoring officer
administrativo hipotecario,mortgage administrator
asesor hipotecario,mortgage advisor
gestor hipotecario,mortgage manager
gestor prestamos hipotecarios,mortgage manager
tramitador siniestros automocion,motor claims handler
desarrollador multimedia,multimedia developer
desarrollador web multimedia,multimedia developer
realizador multimedia,multimedia producer
productor musical,music producer
ingeniero sonido productor musical,music producer sound engineer
ejecutivo cuentas nacionales,national account executive
jefe cuentas nacionales,national account manager
gerente cuentas nacionales,national accounts manager
gestor cuentas nacionales,national accounts manager
ingeniero naval,naval architect
desarrollador .net,net developer
desarrollador net,net developer
desarrollador software net,net software developer
desarrollador web net,net web developer
administrador de redes,network administrator
administrador redes informaticas,network administrator
administrador redes sociales,network administrator
analista redes,network analyst
consultor redes,network consultant
coordinador de redes sociales,network coordinator
coordinador redes,network coordinator
desarrollo net,network development manager
ingeniero redes,network engineer
responsable de redes,network manager
ingeniero seguridad redes,network security engineer
ingeniero soporte redes,network support engineer
administrador de redes y comunicaciones,network systems administrator
administrador de sistemas y aplicaciones,network systems administrator
administrador redes sistemas informaticos,network systems administrator
administrador sistemas informaticos practicas,network systems administrator
administrador sistemas informaticos redes,network systems administrator
administrador sistemas redes,network systems administrator
programador web administrador sistemas,network systems administrator
tecnico administrador de sistemas informaticos,network systems administrator
responsable sistemas redes,network systems engineer
tecnico de redes sociales,network technician
neurocirujano,neurosurgeon
desarrollo nuevo negocio,new business development
responsable desarrollo nuevos productos,new product development manager
editor de noticias,news editor
editor informativos,news editor
redactor de informativos,news editor
redactor de noticias,news editor
redactor informativo,news editor
redactor servicios informativos,news editor
coordinador de informativos,news manager
presentador de informativos,news presenter
presentador noticias,news presenter
redactor presentadora informativos,news presenter
redactor actualidad,news writer
auditor noche,night auditor
auditor nocturno,night auditor
ingeniero nuclear,nuclear engineer
ingeniero seguridad nuclear,nuclear engineer
enfemero,nurse
enfermera,nurse
enfermero,nurse
enfermero familia,nurse
enfermero generalista,nurse
enfermero geriatria,nurse
enfermero hemodialisis,nurse
enfermero hemodinamica,nurse
enfermero nefrologia,nurse
enfermero podologa,nurse
enfermero salud,nurse
enfermero sangre,nurse
licenciada enfermeria,nurse
tecnico de enfermeria,nurse
enfermero reproduccion asistida,nurse assistant
enfermero consulta,nurse consultant
enfermero coordinador,nurse coordinator
enfermero gestor,nurse manager
enfermero uvi movil,nurse specialist
auxilar enfermeria,nursing assistant
auxiliar de enfermeria,nursing assistant
ayudante enfermeria,nursing assistant
asesor nutricional,nutritional advisor
nutricionista deportiva,nutritional therapist
medico adjunto ginecologia obstetricia,obstetrician gynaecologist
medico adjunto servicio ginecologia obstetricia,obstetrician gynaecologist
medico ocupacional,occupational health
tecnico salud laboral,occupational health
enfermero laboral,occupational health nurse
coordinador terapeuta ocupacional,occupational therapist
terapeuta ocupacional,occupational therapist
terapeuta ocupacional domicilio,occupational therapist
administrador oficina,office administrator
ayudante de despacho,office assistant
consultor oficinas,office consultant
coordinador oficinas,office coordinator
director bufete,office manager
director de oficina,office manager
director departamento oficinas,office manager
encargado oficial primera,office manager
gerente de oficina,office manager
gerente oficial,office manager
responsable oficinas,office manager
gerente de punto venta,office sales manager
gestor de puntos de venta,office sales manager
gestor punto ventas,office sales manager
gpv gestor punto venta,office sales manager
secretario oficina,office secretary
oficial,officer
oficial calderero,officer
oficial carretillero,officer
oficial maquinas,officer
oficial responsable,officer
ofimatico,officer
oficial enlace,official
coordinador linea cajas,online coordinator
gerente operario,operating manager
director operacional,operational director
director operativa,operational director
director operativo,operational director
gestor operativa,operational manager
responsable operativo,operational manager
operador especializado,operational specialist
operario inventario,operations
administrativo dpto operaciones,operations administrator
administrativo operario,operations administrator
analista operaciones,operations analyst
asistente operaciones,operations assistant
auxiliar operativo,operations assistant
adjunta operaciones,operations associate
coordinador departamento operaciones,operations coordinator
coordinador operaciones,operations coordinator
director centros comerciales,operations director
director de operaciones,operations director
director del departamento de operaciones,operations director
director departamento compras,operations director
director departamento fiscal,operations director
director departamento obras,operations director
director departamento urbanismo,operations director
director general operaciones,operations director
director murcia baleares,operations director
director operaciones calidad,operations director
jefe sonido directo,operations director
responsable compras operaciones,operations director
ingeniero operaciones,operations engineer
ejecutiva operaciones,operations executive
operaciones mantenimiento,operations maintenance manager
responsable operaciones mantenimiento,operations maintenance manager
gerente director operaciones,operations manager
gerente operaciones,operations manager
gestor de operaciones,operations manager
operador gestor,operations manager
responsable de operaciones,operations manager
responsable departamento operaciones,operations manager
responsable operaciones calidad,operations quality manager
supervisor de operaciones,operations supervisor
tecnico operaciones,operations technical manager
tecnico operaciones redes,operations technical manager
auxiliar operador,operator
oficial fresador,operator
oficial pista,operator
oficial tornero,operator
oficial tornero fresador,operator
operador calderas,operator
operador montaje,operator
operador nivel,operator
operador rampa,operator
operador reservas,operator
operario acondicionamiento,operator
operario automocion,operator
operario auxiliar,operator
operario cadena,operator
operario cocina,operator
operario manipulador,operator
operario montajes,operator
operario primera,operator
operario reciclaje,operator
operario torno,operator
operario verificador,operator
operdor de soldadura,operator
tornero convencional,operator
operador camara tecnico sonido,operator technician
cirujano oral,oral surgeon
administrativo pedidos,order administrator
encargado pedidos,order manager
jefe sala encargado,order manager
organizador coordinador,organizer
propietario,owner
jefe,owner boss
jefe asturias,owner boss
jefe bodega,owner boss
propietario jefe,owner chief
gerente propietario,owner manager
secretario presidencia,pa directors
empaquetador,packer
envasador,packer
jefe chapa pintura,paint supervisor
pintor,painter
pintor edificios,painter
pintor empapelador,painter
pintor oficial primera,painter
pintores,painter
responsable chapa pintura,painter
oficial chapa pintura,painting decorating
asistente parlamentario,parliamentary assistant
colaborador administrativo,partner
promotor captador socios,partner business development
tripulante cabina pasajeros (tcp),passenger service agent
cocinero pastelero,pastry chef
repostera,pastry chef
repostero,pastry chef
coordinador pacientes,patient coordinator
patrono,patron
patronista calzado,pattern cutter
disenador de patronaje,pattern designer
patronista,pattern designer
administrativo departamento pagos,payments administrator
administrativo medios pago,payments administrator
director de medios de pago,payments manager
gestor de morosidad,payments manager
gestor medios pago,payments manager
jefe medios pago,payments manager
responsable medios pago,payments manager
responsable pagos,payments manager
tecnico medios de pago,payments officer
administrativo nominas,payroll administrator
analista de nominas,payroll analyst
responsable de nominas,payroll manager
monitor de actividades fisico deportivas,pe teacher
pensionista,pensioner
gestor personas,people manager
asesor personal,personal adviser
asesor imagen personal,personal advisor
personal shopper asesor imagen,personal advisor
asistente personal,personal assistant
personal servicios generales,personal assistant general manager
secretario asistente personal,personal assistant secretary
banquero personal,personal banker
consultor banca personal,personal banking advisor
director cuentas banca personal,personal banking manager
ejecutivo banca personal,personal banking manager
gerente banca personal,personal banking manager
gestor banca personal,personal banking manager
gestor personal banca,personal banking manager
responsable banca personal,personal banking manager
asistente domicilio,personal care assistant
encargado de personal,personal manager
gerente personal,personal manager
gestor personal,personal manager
entrenador personal,personal trainer
entrenador personal domicilio,personal trainer
entrenador personal monitor,personal trainer
fisioterapeuta entrenador personal,personal trainer
formador personal,personal trainer
instructor entrenador personal,personal trainer
jefe departamento personal,personnel manager
responsable de personal,personnel manager
responsable personas,personnel manager
administrativo de seleccion de personal,personnel officer
delegado de ventas en farmacia,pharmaceutical sales representative
delegado venta farmacias,pharmaceutical sales representative
visitador farmacia,pharmaceutical sales representative
visitador medico atencion,pharmaceutical sales representative
visitador medico farmacia,pharmaceutical sales representative
farmaceutico adjunto oficina farmacia,pharmacist
vendedor farmacias,pharmacist
asistente farmacia,pharmacy assistant
auxiliar de farmacia,pharmacy assistant
auxiliar diplomado farmacia,pharmacy assistant
adjunta oficina farmacia,pharmacy manager
gerente farmacia,pharmacy manager
gestor farmacias,pharmacy manager
fotografo publicidad,photographer
vendedor videojuegos,photographer videographer
desarrollador php,php developer
desarrollador web php,php web developer
preparador fisico readaptador de lesiones,physical trainer
fisioterapeuta,physiotherapist
fisioterapeuta coordinador,physiotherapist
auxiliar fisioterapia,physiotherapy assistant
pianista,pianist
profesor de piano,piano teacher
piloto,pilot
piloto vuelos,pilot
piloto instructor,pilot instructor
engrasador,pipefitter
administrativo planificacion,planning administrator
director planificacion,planning director
ejecutivo planificacion,planning executive
responsable planificacion,planning manager
controlador planta,plant controller
ingeniero de planta,plant engineer
director de planta,plant manager
encargado de planta,plant manager
encargado planta hormigon,plant manager
responsable de planta,plant manager
operador ensayos destructivos,plant operator
operador planta,plant operator
operario de inyeccion de plastico,plant operator
operario inyeccion plasticos,plant operator
operario jefe equipo,plant operator
operario planta,plant operator
operario planta piloto,plant operator
operario sector metal,plant operator
jefe calidad planta,plant quality manager
responsable de calidad en planta,plant quality manager
yesero,plasterer tiler
medico adjunto cirugia plastica,plastic surgeon
gerente plataforma,platform manager
entrenador jugador,player coach
colaborador pipe,plumber
fontanero,plumber
instalador fontaneria,plumber
lampista,plumber
oficial fontanero,plumber
peon de fontaneria,plumber
peon fontanero,plumber
instalador gas,plumber gas fitter
fontanero calefactor,plumber heating
oficial fontaneria calefaccion,plumbing heating
asesor politica,political advisor
concejal de partido politico,political affairs officer
conserje,porter
controlador de accesos,porter
maletero,porter
jefe cartera,portfolio
gestor carteras,portfolio manager
retratista,portrait artist
repartidor correspondencia,postal worker
cartero,postman
director protocolo,pr director
practicante,practice lead
editor presentador,presenter
presentador,presenter
presentador de programa,presenter
presentador reportero,presenter reporter
presidente,president
presidente cooperativa,president
planchador,press
asistente gabinete prensa,press assistant
auxiliar de prensa,press assistant
asesor de prensa,press officer
oficial prensa,press officer
oficina prensa,press officer
responsable de prensa,press officer
operador prensa,press operator
operario de prensas,press operator
prensista,press operator
gestor prevencion riesgos laborales,prevention manager
jefe servicio prevencion propio,prevention manager
administrativo departamento prevencion riesgos laborales,prevention officer
administrativo prevencion riesgos laborales,prevention officer
jefe de servicios de prevencion de riesgos laborales,prevention officer
jefe departamento prevencion riesgos laborales,prevention officer
jefe prevencion de riesgos laborales,prevention officer
jefe prevencion riesgos laborales,prevention officer
analista de precios,pricing analyst
maestro,primary school teacher
director bachillerato,principal
docente secundaria bachillerato,principal
gestor oficina principal,principal manager
gestion activos inmobiliarios,principal wealth management
impresor,printer
banquero privado,private banker
asesor banca privada,private banking advice manager
asesor inversiones banca privada,private banking advice manager
asesor patrimonial banca privada,private banking advice manager
gerente banca privada,private banking manager
gestor banca particulares,private banking manager
gestor de banca privada,private banking manager
gestor patrimonios banca privada,private banking manager
jefe equipo banca privada,private banking manager
gestor operativo particulares,private manager
gestor privado,private manager
secretario particular,private secretary
docente clases particulares,private teacher
ingeniero automatizacion procesos,process automation engineer
consultor calidad procesos,process consultant
consultor de procesos,process consultant
coordinador de procesos,process coordinator
ingeniero desarrollo procesos,process development engineer
ingeniero de procesos,process engineer
ingeniero de procesos de practicas,process engineer internship
ingeniero mejora procesos,process improvement engineer
responsable mejora procesos,process improvement engineer
tecnico mejora procesos,process improvement engineer
jefe de procesos,process manager
responsable procesos,process manager
operador proceso,process operator
operador proceso datos,process operator
ingeniero calidad proceso,process quality engineer
ingeniero calidad procesos,process quality engineer
calidad procesos,process quality manager
responsable de calidad de procesos,process quality manager
supervisor procesos,process supervisor
tecnico de procesos,process technician
tratamiento datos,processing
gestion procesos,processor
tramitador,processor
director aprovisionamientos,procurement director
gestor compras aprovisionamiento,procurement manager
locutor productor,producer
locutor realizador,producer
productor,producer
productor guionista,producer
productor realizador,producer
realizador,producer
realizador audiovisual,producer
director presentador,producer host
fotografo de producto,producer photographer
editor presentador informativos,producer presenter
redactor / presentador,producer presenter
redactor editor presentadora,producer presenter
asesor de producto,product advisor
asistente producto,product assistant
jefe producto marca propia,product brand manager
desarrollo nuevos productos,product business development manager
asesor de productos,product consultant
consultor producto,product consultant
coordinador de producto,product coordinator
responsable diseno del producto,product designer
desarrollador de producto,product developer
desarrollador producto,product developer
desarrollo producto,product development
responsable desarrollo producto,product development
director de desarrollo de producto,product development director
director desarrollo productos,product development director
ingeniero de desarrollo de producto,product development engineer
ingeniero desarrollo producto,product development engineer
ingeniero diseno industrial desarrollo producto,product development engineer
responsable desarrollo productos,product development manager
ingeniero de producto,product engineer
responsable compras producto,product lead
responsable departamento producto,product lead
director de producto,product manager
encargado producto,product manager
gerente de producto,product manager
gerente productos,product manager
gestor productos,product manager
jefe de producto,product manager
product manager,product manager
responsable de producto,product manager
responsable productos,product manager
cuponeadora,product marketing
ingeniero procesos produccion,product process engineer
ingeniero procesos producto,product process engineer
ingeniero producto proceso,product process engineer
ingeniero producto procesos,product process engineer
responsable produccion procesos,product process engineer
ingeniero calidad produccion,product quality engineer
ingeniero calidad producto,product quality engineer
ingeniero produccion calidad,product quality engineer
director aprovisionamiento,product supply manager
tecnico de producto,product technician
tecnico responsable de productos,product technician
presentadora productora,production
asistente jefe produccion,production assistant
auxiliar produccion,production assistant
ayudante de produccion,production assistant
ayudante produccion publicidad,production assistant
ayundante produccion,production assistant
guionista ayudante produccion,production assistant
productor coordinador,production coordinator
jefe produccion ayudante,production editor
jefe produccion cortometraje,production editor
topografo jefe produccion,production editor
ingeniero produccion,production engineer
responsable ingenieria producto,production engineering
ejecutivo produccion,production executive
responsable linea producto,production line
jefe de linea de produccion,production line manager
director produccion,production manager
encargado de produccion,production manager
jefe de produccion,production manager
jefe produccion encargado,production manager
operario produccion almacen,production operator
operario produccion calidad,production operator
planificador produccion,production planner
jefe produccion compras,production purchasing manager
departamento produccion calidad,production quality manager
jefe calidad produccion,production quality manager
jefe de produccion y calidad,production quality manager
responsable calidad produccion,production quality manager
responsable de produccion y calidad,production quality manager
responsable produccion calidad,production quality manager
jefe seccion produccion,production section manager
jefe produccion oficina tecnico,production technician
tecnico jefe produccion,production technician
responsable unidad produccion,production unit manager
director de productos,products manager
profesor certificados profesionalidad,professional teacher
tenista,professional tennis player
profesor coloborador,professor
profesor titular,professor
profesor titular universitaria,professor
profesor universitario,professor
profesor director teatro,professor director
profesor titular historia,professor history
profesor titular investigador,professor researcher
profesor titular interina,professor studies
programador administrador,program administrator
asesor programas,program advisor
administrador analista programador,program analyst
analista programador administrador,program analyst
ayudante produccion programa,program assistant
coordinador de programa,program coordinator
director de programa,program director
director de programas,program director
director presentador programa,program director
gerente programador,program manager
gestor programas,program manager
administrativo programador,program officer
programador jefe proyecto,program project manager
programador administrador bases datos,programm administrator
coordinador programa voluntariodo,programm coordinator
coordinador programas sociales,programm coordinator
delineante programador,programmer
programador,programmer
programador automatismos,programmer
programador numerico,programmer
programador unity,programmer
analista organico analista programador,programmer analyst
analista funcional proyecto,project analyst
analista jefe proyecto,project analyst
analista proyecto,project analyst
arquitecto jefe proyecto,project architect
arquitecto proyectos,project architect
consultor jefe proyecto,project consultant
coordinador de proyecto,project coordinator
consultor coordinador,project coordinator consultant
desarrollador proyecto,project developer
programador proyecto,project developer
desarrollo de proyecto,project development
adjunto director proyecto,project director
ingeniero de proyecto,project engineer
ingeniero superior proyecto,project engineer
ingeniero tecnico proyecto,project engineer
arquitecto director proyecto,project manager
director de proyecto,project manager
gerente de proyecto,project manager
gestor de proyecto,project manager
gestor de proyectos,project manager
jefe de proyecto,project manager
jefe de proyecto / project manager,project manager
responsable de proyecto,project manager
ingeniero calidad proyecto,project quality engineer
ingeniero tecnico obras publicas,project service engineer
supervisor proyecto,project supervisor
vigilante obras,project supervisor
jefe equipo proyecto,project team
tecnico de proyecto,project technician
tecnico superior proyecto informatico,project technician
ayudante jefe proyecto,projects assistant
gerente superior proyecto,projects manager
project manager / jefe de proyecto,projects manager
jefe proyecto informatico,projects officer
jefe proyecto junior,projects officer
jefe proyecto responsable,projects officer
agente promotor,promoter
azafato promociones congresos,promoter
promotor,promoter
promotor deportivo,promoter
promotor negocio,promoter
promotor prensa,promoter
promotor productos,promoter
promotor proyecto,promoter
promotor publicitario,promoter
promotor vendedor,promoter
promotora financiera,promoter
gerente promotor,promotion manager
departamento promociones,promotions
director promotor,promotions director
gerente de promociones,promotions manager
promotor de puntos de venta,promotions officer
corrector,proofreader
redactor corrector,proofreader
asesor propiedad industrial,property advisor
consejero patrimonial,property advisor
agente de propiedad industrial,property agent
asesor propiedad inmobiliaria,property consultant
abogado propiedad industrial,property lawyer
jefe departamento mantenimiento,property maintenance
responsable compras mantenimiento,property maintenance
responsable mantenimiento obras,property maintenance
responsable departamento mantenimiento,property maintenance manager
gestor de fincas,property manager
gestor de inmuebles,property manager
tasador inmobiliario,property surveyor
ingeniero protecciones,protection engineer
enfermero psiquiatria,psychiatric nurse
psicologo adicciones,psychologist
psicologo seleccion,psychologist
veterinario oficial salud publica,public health officer
encargado obras publicas,public manager
agente de relaciones publicas,public relations
periodista relaciones publicas,public relations
publicidad relaciones publicas,public relations
relaciones publicas,public relations
relaciones publicas rrpp,public relations
responsable relaciones publicas,public relations
rrpp,public relations
consultor relaciones publicas,public relations consultant
encargado relaciones publicas,public relations manager
administrativo relaciones publicas,public relations officer
jefe publicaciones,publications manager
redactor publicaciones,publications manager
responsable publicaciones,publications manager
auxiliar publicidad,publicity assistant
jefe marketing publicidad,publicity manager
actor publicitaria,publicity officer
azafato publicidad,publicity officer
delegado publicidad,publicity officer
locutor publicitario,publicity officer
administrativo compras almacen,purchase administrator
administrativo responsable compras,purchase administrator
jefe administracion compras,purchase administrator
responsable de compras de administracion,purchase administrator
encargado compras almacen,purchase manager
jefe area compras,purchase manager
compra venta,purchaser
comprador materiales,purchaser
administrativo tecnico compras,purchasing administrator
jefe compras administracion,purchasing administrator
agente de compras,purchasing agent
encargado de compras,purchasing agent
auxiliar de compras,purchasing assistant
administrativo proveedores,purchasing clerk
director jefe compras,purchasing director
adjunto responsable compras,purchasing manager
director de compras,purchasing manager
jefe de compras,purchasing manager
responsable compras,purchasing manager
responsable dpto compras,purchasing manager
tecnico compras,purchasing manager
administrativo de compras,purchasing officer
ingeniero tecnico de calidad,qa engineer
director departamento de calidad,qa manager
responsable aseguramiento de calidad,qa manager
responsable dpto calidad,qa manager
responsable garantia calidad,qa manager
tecnico asuntos calidad,qa technician
tecnico dpto calidad,qa technician
tecnico responsable de calidad,qa technician
vendedor cualificado,qualified person
administrativo dpto calidad,quality administrator
administrativo responsable calidad,quality administrator
auxiliar administrativo calidad,quality administrator
responsable calidad administracion,quality administrator
analista de calidad,quality analyst
analista departamento calidad,quality analyst
auxiliar de calidad,quality assistant
ingeniero aseguramiento calidad,quality assurance engineer
tecnico aseguramiento de calidad,quality assurance technician
tecnico de garantia de calidad,quality assurance technician
tecnico departamento calidad,quality assurance technician
auditor calidad medio ambiente,quality auditor
auditor de calidad,quality auditor
auditora calidad,quality auditor
consultor auditor calidad medio ambiente,quality consultant
consultor calidad medio ambiente prevencion riesgos laborales,quality consultant
consultor de calidad,quality consultant
consultor sistemas calidad,quality consultant
encuestadora calidad,quality control
responsable calidad compras,quality control
responsable calidad organizacion,quality control
responsable calidad prevencion riesgos laborales,quality control
responsable organizacion calidad,quality control
responsable unidad calidad,quality control
subdirector calidad,quality control
tecnico en calidad y prevencion de riesgos laborales,quality control technician
